id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/_I0IIsQnRRU"", ""Link"")",Episode 247,4:28,TX,07/23/1981,A,P_010d43bf,1,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/-o6UVkem_Dw"", ""Link"")",Episode 247,5:39,TX,07/23/1981,A,P_010d43bf,2,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/CNH7E6aQgQU"", ""Link"")",Episode 247,06:19,TX,07/23/1981,A,P_010d43bf,3,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/LZLseaHQgwc"", ""Link"")",Episode 247,07:17,TX,07/23/1981,A,P_010d43bf,4,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/dd4HWXEexLs"", ""Link"")",Episode 247,05:05,TX,07/23/1981,A,P_010d43bf,5,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/bbpZbrrOr4o"", ""Link"")",Episode 247,7:35,TX,07/23/1981,A,P_010d43bf,6,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/HjOTViuvsfU"", ""Link"")",Episode 247,04:33,TX,07/23/1981,A,P_010d43bf,7,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/5bgaYEuey_M"", ""Link"")",Episode 247,4:05,TX,07/23/1981,A,P_010d43bf,8,8,chucksnitchler
"=HYPERLINK(""https://youtu.be/bhDVNwB_SrY"", ""Link"")",September 1981 closing,01:05,TX,09/01/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/n13mDCKQGGk"", ""Link"")",Episode 288,09:47,TX,09/18/1981,A,P_9d4688d8,1,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/YcD--yz-ug0"", ""Link"")",Episode 288,07:05,TX,09/18/1981,A,P_9d4688d8,2,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/aLQ-BpTakgg"", ""Link"")",Episode 288,8:08,TX,09/18/1981,A,P_9d4688d8,3,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/PPH6YUGf8WI"", ""Link"")",Episode 288,9:24,TX,09/18/1981,A,P_9d4688d8,4,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/mdMn2kYyqEo"", ""Link"")",Episode 288,6:44,TX,09/18/1981,A,P_9d4688d8,5,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/FmFVPrPYZ48"", ""Link"")",Episode 288,3:38,TX,09/18/1981,A,P_9d4688d8,6,6,chucksnitchler
"=HYPERLINK(""https://youtu.be/vSxlcldxuqE"", ""Link"")",Episode 296 closing,02:01,TX,09/30/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/EVi49uJjGag"", ""Link"")",Episode 297 closing,01:57,TX,10/01/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/zBIjaXKYT60"", ""Link"")",Episode 303 closing,1:45,TX,10/01/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/PslSJD9In24"", ""Link"")",Episode 300 closing,1:56,TX,10/06/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/avM_rpML55o"", ""Link"")",closing credits,01:32,TX,10/30/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/L1-MjaYkNaM"", ""Link"")",closing credits,1:31,TX,11/16/1981,B,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/t4BqTYSU0Cc"", ""Link"")",closing,01:54,TX,11/19/1981,B,,1,1,chucksnitchler
