link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/3S3dn1XHsEw"", ""Link"")",Unfaithful,21:14,AW,01/01/1990,A,P_9837f06e,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/XOm6aL4NQEs"", ""Link"")",Unfaithful,18:49,AW,01/01/1990,A,P_9837f06e,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/5GPVhFIaB30"", ""Link"")",The Power of Perception,16:50,AW,01/01/1990,A,P_bd94fe73,1,3,veggieburgermeister
"=HYPERLINK(""https://youtu.be/LgcHMgwepyk"", ""Link"")",The Power of Perception,9:11,AW,01/01/1990,A,P_bd94fe73,2,3,veggieburgermeister
"=HYPERLINK(""https://youtu.be/uPYsTtRG8NM"", ""Link"")",The Power of Perception,14:41,AW,01/01/1990,A,P_bd94fe73,3,3,veggieburgermeister
"=HYPERLINK(""https://youtu.be/QXDiRdVdaqw"", ""Link"")",Episode,42:07:00,AW,1/10/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/YlryYiMYmbE"", ""Link"")",Episode,42:04:00,AW,1/11/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/BvW1FinG-gE"", ""Link"")",Episode,42:36:00,AW,1/12/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/LLjlectq-Bg"", ""Link"")",Episode,1:01:11,AW,1/19/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/DgT_f7XXFLI"", ""Link"")",Episode,59:54:00,AW,1/22/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/FaaEdu-Tp7k"", ""Link"")",Episode,59:49:00,AW,1/23/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/VDnsMy2Lwsg"", ""Link"")",Episode,59:49:00,AW,1/24/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/UjCznNKiZCE"", ""Link"")",Episode,59:53:00,AW,1/25/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/zd1D-qZ-tg8"", ""Link"")",Episode,59:51:00,AW,1/26/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/-Xscj3BPrLM"", ""Link"")",Episode,59:54:00,AW,1/29/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/V4aNA4zNGMs"", ""Link"")",Episode,59:55:00,AW,1/30/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/lqDeqAVjQGk"", ""Link"")",Episode,59:48:00,AW,1/31/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/xAeAdVUqsKo"", ""Link"")",Between a Rock and a Hard Place,12:00,AW,02/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/nqskPiOSyH0"", ""Link"")",Beware the Buyer,16:08,AW,02/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/MyaoAIOodW4"", ""Link"")",Jake and Donna : Lucas and Felicia,11:08,AW,02/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/dPJ0lEH-G8E"", ""Link"")",Cupid,41:32,AW,02/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/PRmZlzh6e40"", ""Link"")",Trouble for Stacey and Derek,10:32,AW,02/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/P5mCbsyZzA4"", ""Link"")",Episode,59:49:00,AW,2/1/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/CygX8xACHbM"", ""Link"")",Looking Forward,20:54,AW,02/01/1990,A,P_1d37e6d7,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/o18KX1R_-cU"", ""Link"")",Looking Forward,20:08,AW,02/01/1990,A,P_1d37e6d7,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/2d1jvV_o3b8"", ""Link"")",Some Habits are Hard to Break,25:49,AW,02/01/1990,A,P_3522a477,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/yeCD2S1lRe4"", ""Link"")",Some Habits are Hard to Break,14:56,AW,02/01/1990,A,P_3522a477,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/Oj9aw6t--Hk"", ""Link"")",A Night to Remember,25:12,AW,02/01/1990,A,P_4da6ad60,1,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/QTir4CmOcUk"", ""Link"")",A Night to Remember,16:18,AW,02/01/1990,A,P_4da6ad60,2,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/OQYDGMHTMuw"", ""Link"")",A Night to Remember,23:04,AW,02/01/1990,A,P_4da6ad60,3,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/YwBH9Py6PoA"", ""Link"")",A Night to Remember,17:17,AW,02/01/1990,A,P_4da6ad60,4,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/5rzqQy-mQXc"", ""Link"")",A Night to Remember,19:19,AW,02/01/1990,A,P_4da6ad60,5,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/DHO3GO4353Q"", ""Link"")",A Night to Remember,21:42,AW,02/01/1990,A,P_4da6ad60,6,6,veggieburgermeister
"=HYPERLINK(""https://youtu.be/ND1TsuChve4"", ""Link"")",Handling the Truth,24:47,AW,02/01/1990,A,P_552e7bbf,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/uQltRM1rnoA"", ""Link"")",Handling the Truth,16:07,AW,02/01/1990,A,P_552e7bbf,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/qQp6wAxtzbA"", ""Link"")",An Unlikely Proposal,15:36,AW,02/01/1990,A,P_77ff24df,1,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/ra4mP9zx4MQ"", ""Link"")",An Unlikely Proposal,25:11,AW,02/01/1990,A,P_77ff24df,2,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/cyZjQug7MPA"", ""Link"")",An Unlikely Proposal,21:27,AW,02/01/1990,A,P_77ff24df,3,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/M_4tpUSyxok"", ""Link"")",An Unlikely Proposal,19:12,AW,02/01/1990,A,P_77ff24df,4,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/6JdJqi-HEp8"", ""Link"")",True Confessions,23:24,AW,02/01/1990,A,P_840c4975,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/uhKYHGZwGzk"", ""Link"")",True Confessions,18:16,AW,02/01/1990,A,P_840c4975,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/AC7hz9ZLVwE"", ""Link"")",There's Always A Choice,25:02,AW,02/01/1990,A,P_9a001414,1,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/pOYIP9Ytgi8"", ""Link"")",There's Always A Choice,15:59,AW,02/01/1990,A,P_9a001414,2,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/asutxHRByy4"", ""Link"")",There's Always A Choice,26:14,AW,02/01/1990,A,P_9a001414,3,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/twJm68ehq60"", ""Link"")",There's Always A Choice,14:50,AW,02/01/1990,A,P_9a001414,4,4,veggieburgermeister
"=HYPERLINK(""https://youtu.be/HmWf-Hc5QCk"", ""Link"")","Like Mother, Like Daughter",22:40,AW,02/01/1990,A,P_9bc98ba1,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/gs079z-dGHY"", ""Link"")","Like Mother, Like Daughter",17:42,AW,02/01/1990,A,P_9bc98ba1,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/BM32-iwV-04"", ""Link"")",Two Faces Have I,22:30,AW,02/01/1990,A,P_d4fa07cb,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/N2QZ7UyBeBg"", ""Link"")",Two Faces Have I,18:39,AW,02/01/1990,A,P_d4fa07cb,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/ph08hp0KeiQ"", ""Link"")",While You Were Spying,24:41,AW,02/01/1990,A,P_f9961e7c,1,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/pXingNdFtMo"", ""Link"")",While You Were Spying,16:26,AW,02/01/1990,A,P_f9961e7c,2,2,veggieburgermeister
"=HYPERLINK(""https://youtu.be/nWTABQjvpdQ"", ""Link"")",Episode,1:00:44,AW,2/2/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/j9mjnaJmv20"", ""Link"")",Episode,59:52:00,AW,2/5/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/ma4j9hKPZqw"", ""Link"")",Episode,59:50:00,AW,2/6/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/yHA27WnoXEU"", ""Link"")",Episode,59:54:00,AW,2/15/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/XPCa30ETQKw"", ""Link"")",Episode,59:53:00,AW,2/16/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/2ZG-orELQ1M"", ""Link"")",Episode,59:49:00,AW,2/19/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/vHrvxQI2EBw"", ""Link"")",Episode,59:53:00,AW,2/20/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/xKr4N0bw9tM"", ""Link"")",Episode,59:46:00,AW,2/21/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/J19Rq9HbLAM"", ""Link"")",Episode,59:51:00,AW,2/22/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/ZHT4G17IkLg"", ""Link"")",Episode,59:50:00,AW,2/23/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/pMISimzyoSc"", ""Link"")",Episode,59:53:00,AW,2/26/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/p89kguzbQu4"", ""Link"")",Episode,59:55:00,AW,2/27/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/iINbmRRdaUA"", ""Link"")",Episode,59:53:00,AW,2/28/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/Lb8gll1Q_qc"", ""Link"")",Sharly's Spirit,16:39,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/R_w6rrgjezA"", ""Link"")",Lucas Confidential,07:36,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/wsAWScksIuk"", ""Link"")",A Preview of Things to Come,42:10,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/tH9vmajA-ZU"", ""Link"")",Something is terribly wrong,42:43,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/cfS_Ox2kRiE"", ""Link"")",Skirting the Edge.,42:12,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/ldoJ3LmkSVk"", ""Link"")",Otherwise Engaged,42:16,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/MUMQpMP1tsg"", ""Link"")",Raiders of the Lost Artifacts,42:48,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/iDE9-436Vlo"", ""Link"")",Connecting the Dots.,41:55,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/2Mf2dEV33vA"", ""Link"")",Politically Incorrect,41:52,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/CoADGRGMfj8"", ""Link"")",We'll have to do something about this,42:32,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/QFoKorqCaLQ"", ""Link"")",Rachel Wants to Find Ken,7:44,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/OIVwlx3mGs8"", ""Link"")",Felicia Gives Mac's Note to Rachel,6:18,AW,03/01/1990,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/om722cUegQM"", ""Link"")",Episode,59:49:00,AW,3/1/1990,A,,1,1,eddiedrueding
"=HYPERLINK(""https://youtu.be/c-MoluUM76w"", ""Link"")",March 1990 - October 1990,30:11,AW,03/01/1990,A,P_7c255fe4,1,5,eddiedrueding
"=HYPERLINK(""https://youtu.be/RjCj-KFeV68"", ""Link"")",March 1990 - October 1990,30:26,AW,03/01/1990,A,P_7c255fe4,2,5,eddiedrueding
