YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/l7n3pDfn-PU"", ""Link"")",l7n3pDfn-PU,Robin Strasser - Guest on Days of Our Lives,0:14:30,DAYS,10/01/2019,A,,1,1,michaeldangora
"=HYPERLINK(""https://youtu.be/qW3cJ1mMgHY"", ""Link"")",qW3cJ1mMgHY,Robin Strasser - Guest on Days of Our Lives,0:03:55,DAYS,10/01/2019,A,,1,1,michaeldangora
"=HYPERLINK(""https://youtu.be/WL0SN6_DuY8"", ""Link"")",WL0SN6_DuY8,The Return Of Megan Hathaway,0:01:18,DAYS,01/01/2022,A,,1,1,novelasdomundo
