id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/N1nL4WbK1aI"", ""Link"")",1991 Daytime Emmy Awards,03:35,EMMY,01/01/1991,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/pVeJoTXcNEU"", ""Link"")",Maureen Garrett Emmy Reel,29:31,EMMY,01/01/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/DPofGtM0roU"", ""Link"")",Anne Hech Daytime Emmy Reel,20:40,EMMY,06/22/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/ToZBkOS3q0A"", ""Link"")",Finola Hughes Daytime Emmy Reel,10:21,EMMY,06/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/oU0iThRtDgo"", ""Link"")",Jess Walton Daytime Emmy Win,02:53,EMMY,06/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/CU-vLGgd0ag"", ""Link"")",Jess Walton - Young and the Restless Daytime Emmy Reel,10:39,EMMY,6/22/1991,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/i36-rh2BrlQ"", ""Link"")",Daytime Emmys Outstanding Drama Series Directing Team,2:48,EMMY,6/6/1992,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/cq5b_F8kVKQ"", ""Link"")",Elizabeth Hubbard - As the World Turns Daytime Emmy Reel,4:59,EMMY,6/23/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/VBcIVHbrPm0"", ""Link"")",Tricia Cast - Young and the Restless Daytime Emmy Reel,34:01,EMMY,6/23/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/tCJsi4S2CpU"", ""Link"")",Thom Christopher - One LIfe to Live Daytime Emmy Reel,12:04,EMMY,6/23/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/VJ_nhqw4B10"", ""Link"")",Maeve Kinkead Emmy Reel,11:33,EMMY,08/30/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/TJcSThDEUAQ"", ""Link"")",Erika Slezak Daytime Emmy Reel,20:20,EMMY,08/30/1992,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/ttyOgR9Uv8I"", ""Link"")",Emmy Coverage - BTS,07:48,EMMY,01/01/1993,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/K9kZJ6ZIa_A"", ""Link"")",Linda Dano Daytime Emmy Reel,18:06,EMMY,05/26/1993,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/RMIn2YSwSD4"", ""Link"")",Ellen Parker Daytime Emmy Reel,17:07,EMMY,05/26/1993,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/oNBGtYN_vis"", ""Link"")",Emmy Awards Outstanding Lead Actress Linda Dano,5:34,EMMY,5/26/1993,A,,1,1,veggieburgermeister
"=HYPERLINK(""https://youtu.be/Cyz2FEnMFdE"", ""Link"")",Melissa Hayden Emmy Reel,17:19,EMMY,05/25/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/IZni6jRT1oQ"", ""Link"")",Susan Haskell Daytime Emmy Reel,31:47,EMMY,05/25/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/watmznHB-BU"", ""Link"")",Peter Simon - Guiding Light Emmy Reel,19:04,EMMY,6/4/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/1U4Dvtsh5H0"", ""Link"")",Michael Zaslow - Guiding Light Daytime Emmy Reel,21:44,EMMY,6/4/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/YhQYXFXVtRU"", ""Link"")",Justin Deas - Guiding Light Daytime Emmy Reel,21:33,EMMY,6/4/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/zf_gNYhLkbU"", ""Link"")",Hillary B. Smith - One LIfe to Live Daytime Emmy Reel,28:46,EMMY,6/4/1994,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/rcAF4Uj56QE"", ""Link"")",Emmy Reel That Beat Brad Maule,30:29,EMMY,01/01/1995,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/9hno9cgGJ1w"", ""Link"")",Sarah Gellar Daytime Emmy Reel,11:13,EMMY,05/15/1995,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/75hovLJfzzE"", ""Link"")",Rena Sofer Daytime Emmy Reel,10:55,EMMY,05/19/1995,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/_XiI8MdJl_w"", ""Link"")",Erika Slezak Daytime Emmy Reel,30:56,EMMY,05/19/1995,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/U-GZcEqApmg"", ""Link"")",Writers Win Emmy,1:39,EMMY,01/01/1996,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/9wLEhKFyevI"", ""Link"")",Jerry verDorn Emmy Reel,21:29,EMMY,05/22/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/oz7KNwyUuQA"", ""Link"")",Kimberly McCullough Emmy Reel,15:43,EMMY,05/22/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/vmo-LcTMrdg"", ""Link"")",Charles Keating Daytime Emmy Reel,17:15,EMMY,05/22/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/RLDy6eWargo"", ""Link"")",Erika Slezak Daytime Emmy Reel,30:44,EMMY,05/22/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/9YxbJmXqr_A"", ""Link"")",Anna Holbrook - Another World Daytime Emmy Reel,16:07,EMMY,6/2/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/w-jmXiL5O2E"", ""Link"")",Frank Beaty - Guiding LIght Daytime Emmy Reel,17:49,EMMY,6/2/1996,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/reW0iV19jo4"", ""Link"")",Tie for Writing Teams at Emmys,5:42,EMMY,01/01/1997,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/BwCyAFx9320"", ""Link"")",Sarah Brown Daytime Emmy Reel,12:20,EMMY,05/21/1997,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/8bLB_oFNvSQ"", ""Link"")",24th Annual Daytime Emmys Snippet,0:15,EMMY,05/21/1997,A,,1,1,carmaker1
"=HYPERLINK(""https://youtu.be/ALESa880h8w"", ""Link"")",Justin Deas Guiding Light Daytime Emmy Reel,19:41,EMMY,6/1/1997,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/zQgCLgIBT8c"", ""Link"")",Emmy Nominations,01:22,EMMY,01/01/1998,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/SshNmI_ntPM"", ""Link"")",Coverage of the Emmys,03:20,EMMY,01/01/1998,A,,1,1,amcthroughtheyears
"=HYPERLINK(""https://youtu.be/DeOHzIX9VQY"", ""Link"")",Emmy Rossum,1:04,EMMY,01/01/1998,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/4EhRMxdQ2mI"", ""Link"")",Sarah Brown Daytime Emmy Reel,11:55,EMMY,05/15/1998,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Xck8sSJ_-x8"", ""Link"")",Julia Barr Daytime Emmy Reel,29:11,EMMY,05/15/1998,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/zUZMWVl1xSU"", ""Link"")",Cynthia Watros Daytime Emmy Reel,24:06,EMMY,05/15/1998,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/Dk8GRHMqkFs"", ""Link"")",1998 Daytime Emmy Awards,1:30:36,EMMY,05/15/1998,A,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/5oplfP0lSTA"", ""Link"")",Susan Lucci Daytime Emmy Reel,45:12,EMMY,05/21/1999,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/CgF8b9zxemU"", ""Link"")",Susan Lucci wins Daytime Emmy,04:59,EMMY,05/21/1999,A,,1,1,bhbpr
"=HYPERLINK(""https://youtu.be/1WjYcmZyzjc"", ""Link"")",1999 Daytime Emmy Awards,1:31:36,EMMY,05/21/1999,A,,1,1,edynsanchez
"=HYPERLINK(""https://youtu.be/kuEDLX-FN3g"", ""Link"")",Anthony Geary - General Hospital Daytime Emmy Reel,29:13,EMMY,5/23/1999,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/2lCJGyQQfsM"", ""Link"")",Susan Lucci's Emmy Promo,0:22,EMMY,05/25/1999,A,,1,1,davidandericaarchive
"=HYPERLINK(""https://youtu.be/X3nX7C_aUEI"", ""Link"")",Justin Deas - Santa Barbara Daytime Emmy Reel,15:49,EMMY,6/6/1999,A,,1,1,fyi
"=HYPERLINK(""https://youtu.be/3A9uP6BfPts"", ""Link"")",Sarah Brown Daytime Emmy Reel,9:34,EMMY,05/19/2000,A,,1,1,fyi
