link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/DiPJwqkSlQI"", ""Link"")",Promo,0:00:21,EMMY,1/1/2000,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/3A9uP6BfPts"", ""Link"")",Sarah Brown Daytime Emmy Reel,0:09:34,EMMY,05/19/2000,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/ezp7_PetQms"", ""Link"")",2000 Daytime Emmy Awards,0:03:28,EMMY,05/19/2000,A,,1,1,pimlicocalico
"=HYPERLINK(""https://youtu.be/olCg33bnbgo"", ""Link"")",2000 Daytime Emmy Awards,1:26:32,EMMY,05/19/2000,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/ZW4jbvJ0xTY"", ""Link"")",Outstanding Lead Actress in a Drama Series,0:03:54,EMMY,05/19/2000,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/cs45lhPGD5M"", ""Link"")",Promo,0:00:16,EMMY,1/1/2001,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/2CccF2oUPXM"", ""Link"")",Martha Byrne Daytime Emmy Reel,0:39:17,EMMY,05/18/2001,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/x951lqhCsTs"", ""Link"")",Lesli Kay Daytime Emmy Reel,0:29:36,EMMY,05/18/2001,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/Bv-YWjQ9QKo"", ""Link"")",2001 Daytime Emmy Awards,0:02:13,EMMY,06/04/2001,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/Abh4UB7O1GY"", ""Link"")",2001 Daytime Emmy Awards,0:03:06,EMMY,06/04/2001,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/w_rZnTJ8hm4"", ""Link"")",2001 Daytime Emmy Awards,0:03:29,EMMY,06/04/2001,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/RYAgwL3E-ck"", ""Link"")",2001 Daytime Emmy Awards,0:02:21,EMMY,06/04/2001,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/b5YfHknZpZQ"", ""Link"")",2001 Daytime Emmy Awards,0:02:05,EMMY,06/04/2001,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/ID6hmrwjuGA"", ""Link"")",Crystal Chappell Daytime Emmy Reel,0:20:09,EMMY,05/17/2002,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/5MY9yYnHb6o"", ""Link"")",Guiding Light 2002 Daytime Emmys - 50th TV Anniversary,0:04:24,EMMY,6/3/2002,A,,1,1,celebratingthesoaps
"=HYPERLINK(""https://youtu.be/9ljLUjImYMc"", ""Link"")",Vanessa Marcil Daytime Emmy Reel,0:23:18,EMMY,05/16/2003,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/BoQ8zLEG1jc"", ""Link"")",2003 Daytime Emmy Awards,0:04:28,EMMY,06/02/2003,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/sRDo7u4Fr_I"", ""Link"")",2003 Daytime Emmy Awards,0:04:35,EMMY,06/02/2003,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/lGkxQE_gWhA"", ""Link"")",2003 Daytime Emmy Awards,0:02:27,EMMY,06/02/2003,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/Ndgnb_FwBEQ"", ""Link"")",2003 Daytime Emmy Awards,0:01:46,EMMY,06/02/2003,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/g5qK_3eYNMg"", ""Link"")",2003 Daytime Emmy Awards,0:01:54,EMMY,06/02/2003,A,,1,1,longlivethebluths
"=HYPERLINK(""https://youtu.be/OPwkXMOVApg"", ""Link"")",Cady McClain Daytime Emmy Win,0:02:48,EMMY,05/21/2004,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/Ls4oFtn1_6U"", ""Link"")",Natalia Livingston Emmy Reel,0:22:42,EMMY,05/20/2005,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/7uLsYOn6d3c"", ""Link"")",Erika Slezak Daytime Emmy Reel,0:16:17,EMMY,05/20/2005,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/kCVHl6jZubc"", ""Link"")",Eden Riegel Daytime Emmy Reel,0:27:58,EMMY,05/20/2005,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/yYri8QkDutM"", ""Link"")",Deidre Hall hosts Daytime Emmys,0:05:29,EMMY,05/20/2005,A,P_e341e191,1,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/m7aLRcaBixQ"", ""Link"")",Deidre Hall hosts Daytime Emmys,0:06:22,EMMY,05/20/2005,A,P_e341e191,2,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/q8D8Gqo5YIY"", ""Link"")",Deidre Hall hosts Daytime Emmys,0:05:29,EMMY,05/20/2005,A,P_e341e191,3,3,obsessedjarlenafan
"=HYPERLINK(""https://youtu.be/WNaxflKh-wA"", ""Link"")",2005 Daytime Emmy Awards -  Erika Slezak Wins,1:34:48,EMMY,5/31/2005,A,,1,1,ilovesoaps
"=HYPERLINK(""https://youtu.be/_39Ok8rgsKQ"", ""Link"")",Tom Pelphrey Daytime Emmy,0:22:50,EMMY,01/01/2006,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/uxgSxl60Ugo"", ""Link"")",Thorsten Kaye and Alicia Minshew,0:03:06,EMMY,04/28/2006,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/HhcJMNxKqGQ"", ""Link"")",Gina Tognoni Daytime Emmy Reel,0:19:20,EMMY,04/28/2006,A,,1,1,fyi9476
