id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/lbpMlaBSjf0"", ""Link"")",Episode,08:39,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/PVINByxh6QM"", ""Link"")",Episode,07:52,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/9N8Gn7RDv70"", ""Link"")",Closing,00:44,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/4EkXuoBhoKs"", ""Link"")",Closing,0:55,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/8N9s2eIEiZQ"", ""Link"")",Nolan Ryan,7:46,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Uy8w8hhqrX8"", ""Link"")",Closing,0:52,RH,01/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/QAM-0o3w0Ug"", ""Link"")",Eplisode clip,6:51,RH,01/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/XB-albfwMG0"", ""Link"")",Opening,00:32,RH,01/01/1975,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/1HV74coPfvc"", ""Link"")",All Openings (1975-1989),11:34,RH,01/01/1975,B,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/3fH8aMG0-FM"", ""Link"")",Collection of openings,12:12,RH,07/07/1975,B,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/NwTqmj0X7Wg"", ""Link"")",Opening,0:30,RH,07/07/1975,B,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/taYGS0DNc8A"", ""Link"")",Episode,30:06,RH,7/18/1975,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/KkEmmDb0iV8"", ""Link"")",Episode,30:01,RH,7/24/1975,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/cnC8LwEd_Mc"", ""Link"")",Episode,28:31,RH,7/28/1975,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/K2L0KnG9GzU"", ""Link"")",Opening and Closing,1:14,RH,08/07/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/WNhBvuR7-Ak"", ""Link"")",Closing,00:56,RH,09/01/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/IaiUxA7AjNw"", ""Link"")",Cast and Prod Closing,00:53,RH,09/16/1975,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ku5PcI_Isfc"", ""Link"")",Clip,2:17,RH,11/01/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/140bzmpCKIo"", ""Link"")",Closing,00:53,RH,11/14/1975,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/6JReC5Y0ZBw"", ""Link"")",Kate Mulgrew as Mary Ryan,07:30,RH,11/18/1975,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/lIIG8Qx4Cto"", ""Link"")",Eplisode clip,09:27,RH,12/23/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/tLZFO_TKkps"", ""Link"")",Xmas Eve Minisode,12:38,RH,12/24/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/-bKLi0K1s8I"", ""Link"")",Xmas,00:41,RH,12/24/1975,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/3dAMLa9mPAg"", ""Link"")",Christmas Day,14:24,RH,12/25/1975,A,P_aba2411d,1,2,disabled1955
"=HYPERLINK(""https://youtu.be/9iGzwAYeOg4"", ""Link"")",Christmas Day,08:03,RH,12/25/1975,A,P_aba2411d,2,2,disabled1955
"=HYPERLINK(""https://youtu.be/XGy-mKWj3Ik"", ""Link"")",David Caruso,00:30,RH,01/01/1976,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/RwB60vuepMk"", ""Link"")",Closing,1:02,RH,01/08/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/_8FCrL3-gjQ"", ""Link"")",Clip,10:18,RH,01/09/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/rVPEMz6lJHs"", ""Link"")",Eplisode clip,2:51,RH,02/18/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/_NDR19iejuM"", ""Link"")",Roger's Apartment,05:47,RH,02/20/1976,A,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/RekOtP9aVS0"", ""Link"")",Closing,1:00,RH,2/20/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/0oX6AT-riUQ"", ""Link"")",Stairwell chase,1:33,RH,2/20/1976,A,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/ex4pWSyGDLU"", ""Link"")",Closing,0:46,RH,2/24/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/mt7_yOr695g"", ""Link"")",Closing,00:40,RH,02/26/1976,B,,1,1,retronewfoundland
"=HYPERLINK(""https://youtu.be/0o7jSiJHzBw"", ""Link"")",Eplisode clip,3:12,RH,04/12/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/LFrjAzTgiqs"", ""Link"")",Kate Mulgrew as Mary Ryan,11:34,RH,05/03/1976,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/urszLOoCG9o"", ""Link"")",Episode clip,2:57,RH,5/3/1976,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/0GW9LREqTrY"", ""Link"")",Closing,1:17,RH,05/14/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/aT-bztjQFPg"", ""Link"")",Kate Mulgrew as Mary Ryan,10:42,RH,06/18/1976,A,,1,1,ryanshope
"=HYPERLINK(""https://youtu.be/cTfVzhT8D4A"", ""Link"")",Minisode,13:23,RH,06/30/1976,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/A_KchwOY-9U"", ""Link"")",Closing,0:25,RH,06/30/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/c4suR5ll_8U"", ""Link"")",Closing,01:42,RH,08/17/1976,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/FGlmHjm4NwQ"", ""Link"")",Episode,22:00,RH,09/20/1976,B,,1,1,ryanshope
