link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/clL7Ack48j8"", ""Link"")",Episode 2,5:00,EDGE,04/03/1976,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/k8YWLtwikpE"", ""Link"")",Episode #1,09:57,EDGE,04/03/1976,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/-WGZK9FW_YI"", ""Link"")",Episode #3,7:46,EDGE,04/03/1976,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/VPtPxdsadpE"", ""Link"")",Episode,23:01,EDGE,04/19/1976,A,,1,1,pannoni
"=HYPERLINK(""https://youtu.be/X5deP-yRitA"", ""Link"")",Nicole is Missing!,20:08,EDGE,01/01/1977,A,,1,1,rhsharp
"=HYPERLINK(""https://youtu.be/99B3hHQ0bRk"", ""Link"")",Episode,22:27,EDGE,01/01/1977,A,P_f22aed1c,1,2,rhsharp
"=HYPERLINK(""https://youtu.be/HohSjG291WI"", ""Link"")",Episode,22:45,EDGE,01/01/1977,A,P_f22aed1c,2,2,rhsharp
"=HYPERLINK(""https://youtu.be/o-tSc9BUD2A"", ""Link"")",Promo,0:31,EDGE,1/1/1978,B,,1,1,chuckd79
"=HYPERLINK(""https://youtu.be/cO4fKmDyAII"", ""Link"")",Denise's Demise,21:50,EDGE,06/01/1978,A,,1,1,rhsharp
"=HYPERLINK(""https://youtu.be/2ATPai1uxoA"", ""Link"")",Edge of Night,21:33,EDGE,07/18/1978,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/MUg7AJUoA-4"", ""Link"")",Episode content,16:32,EDGE,01/31/1979,A,P_464caee0,1,4,theedgeofnightman
"=HYPERLINK(""https://youtu.be/jr0cB85avTQ"", ""Link"")",Episode content,16:10,EDGE,01/31/1979,A,P_464caee0,2,4,theedgeofnightman
"=HYPERLINK(""https://youtu.be/VKTAwbEY3TQ"", ""Link"")",Episode,22:40,EDGE,01/31/1979,A,P_464caee0,3,4,theedgeofnightman
"=HYPERLINK(""https://youtu.be/Ih_y2LM3EEc"", ""Link"")",Episode content,09:52,EDGE,01/31/1979,A,P_464caee0,4,4,theedgeofnightman
"=HYPERLINK(""https://youtu.be/nAlpyGKn6eU"", ""Link"")",Episode content,15:45,EDGE,02/01/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/jslzoyHIfwI"", ""Link"")",Episode,20:43,EDGE,04/20/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/gdu8fSaLaIg"", ""Link"")",Episode,20:21,EDGE,04/24/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/zU-9hZkH9I8"", ""Link"")",Episode,20:53,EDGE,04/25/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/cQ78RGePuso"", ""Link"")",Episode,21:01,EDGE,04/26/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/mp-iwQSud7M"", ""Link"")",Episode,21:19,EDGE,04/27/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/4-UhXywqAjM"", ""Link"")",Episode,20:05,EDGE,04/30/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/B9AV9BBLzOQ"", ""Link"")",Episode content,03:10,EDGE,05/01/1979,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/e9xfsJgb2Rk"", ""Link"")",Episode content,13:23,EDGE,06/01/1979,A,P_4dc90f9c,1,3,theedgeofnightman
"=HYPERLINK(""https://youtu.be/j_Up9bQ0P94"", ""Link"")",Episode content,07:21,EDGE,06/01/1979,A,P_4dc90f9c,2,3,theedgeofnightman
"=HYPERLINK(""https://youtu.be/pLSJuRDiI9E"", ""Link"")",Episode content,10:26,EDGE,06/01/1979,A,P_4dc90f9c,3,3,theedgeofnightman
"=HYPERLINK(""https://youtu.be/GlkahrsS0Ng"", ""Link"")",July 1979,21:58,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/MPC41eJ4mis"", ""Link"")",July 1979,21:23,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/tetw4A5lM7Y"", ""Link"")",July 1979,21:50,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/LSqztkLAP9U"", ""Link"")",July 1979,22:01,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/kwnOumse16I"", ""Link"")",July 1979,58:28,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/9OCg1OkrCrc"", ""Link"")",#6059,22:00,EDGE,07/01/1979,A,,1,1,matthewsmith
"=HYPERLINK(""https://youtu.be/9IvSntMbF2M"", ""Link"")",Episode #7,10:02,EDGE,12/01/1979,A,,1,1,thez58
"=HYPERLINK(""https://youtu.be/DaRSab1cAuY"", ""Link"")",Edge of Night,28:55,EDGE,12/18/1979,A,,1,1,edwynnsanchez
