link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/xTH0wb9sy8U"", ""Link"")",Jake and Molly's Wedding,7:43,ATWT,10/01/2001,A,P_7bfd0bcc,13,13,dragonweaver
"=HYPERLINK(""https://youtu.be/kVvBrSAR3_Y"", ""Link"")",Bryants Death,05:27,ATWT,10/23/2001,A,P_466ccd08,01,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/I83iJqeF4oE"", ""Link"")",Bryants Death,7:11,ATWT,10/23/2001,A,P_466ccd08,02,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/iEYsI3J1fgI"", ""Link"")",Bryants Death,7:10,ATWT,10/23/2001,A,P_466ccd08,03,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/bVi0oJcBsCU"", ""Link"")",Bryants Death,5:26,ATWT,10/23/2001,A,P_466ccd08,04,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/4yh_ty73xV0"", ""Link"")",Bryants Death,04:14,ATWT,10/23/2001,A,P_466ccd08,05,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/G8Y9LoXQEXI"", ""Link"")",Bryants Death,09:37,ATWT,10/23/2001,A,P_466ccd08,06,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/ltf05YFdwc0"", ""Link"")",Bryants Death,5:46,ATWT,10/23/2001,A,P_466ccd08,07,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/lF7h_aiY1eY"", ""Link"")",Bryants Death,7:36,ATWT,10/23/2001,A,P_466ccd08,08,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/nxaP0GkJ0sM"", ""Link"")",Bryants Death,08:39,ATWT,10/23/2001,A,P_466ccd08,09,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/69HoFTGq4eM"", ""Link"")",Bryants Death,09:10,ATWT,10/23/2001,A,P_466ccd08,10,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/Y_XZWtow_-E"", ""Link"")",Bryants Death,06:20,ATWT,10/23/2001,A,P_466ccd08,11,11,oakdalehistorian
"=HYPERLINK(""https://youtu.be/MJ8XgIlTDuo"", ""Link"")",Opening,0:41,ATWT,01/01/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/qVWO480dM6Y"", ""Link"")",Peter Dinklage,3:50,ATWT,01/01/2002,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/cvH40U8_oDQ"", ""Link"")",Diane Neal,1:04,ATWT,01/01/2002,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/9AI6v8BD6zE"", ""Link"")",Julia Has Jack,9:58,ATWT,01/01/2002,A,P_d7abf046,1,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/Sgd-q3_P2Fs"", ""Link"")",Julia Has Jack,7:41,ATWT,01/01/2002,A,P_d7abf046,2,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/uV7WwF00zRo"", ""Link"")",Julia Has Jack,7:22,ATWT,01/01/2002,A,P_d7abf046,3,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/0UUaUR8s600"", ""Link"")",Julia Has Jack,06:53,ATWT,01/01/2002,A,P_d7abf046,4,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/jbW6UAudzXA"", ""Link"")",Julia Has Jack,9:43,ATWT,01/01/2002,A,P_d7abf046,5,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/xGTgOMFsft0"", ""Link"")",Julia Has Jack,08:30,ATWT,01/01/2002,A,P_d7abf046,6,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/nR1IfMyuM6Q"", ""Link"")",Julia Has Jack,5:11,ATWT,01/01/2002,A,P_d7abf046,7,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/IA86Q7QlnlY"", ""Link"")",Julia Has Jack,9:14,ATWT,01/01/2002,A,P_d7abf046,8,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/W4z-cOHewBw"", ""Link"")",Julia Has Jack,5:20,ATWT,01/01/2002,A,P_d7abf046,9,9,oakdalehistorian
"=HYPERLINK(""https://youtu.be/_-RzgVSI2uY"", ""Link"")","James, Rose, Craig Promo",00:48,ATWT,04/01/2002,B,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/FrIHAyX_jbc"", ""Link"")",Episode,31:45,ATWT,04/03/2002,A,,1,1,theedgeofnightman
"=HYPERLINK(""https://youtu.be/5dPc2GyXdCg"", ""Link"")",Episode content,11:31,ATWT,05/03/2002,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/bAiDfN38z0M"", ""Link"")",Episode content,16:10,ATWT,05/29/2002,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/Xf3V02FLmio"", ""Link"")",Episode content,19:37,ATWT,06/03/2002,A,,1,1,guidinglightepisodes3132
"=HYPERLINK(""https://youtu.be/tEReoV5ZcbY"", ""Link"")",Craig seduces Carly,05:45,ATWT,06/14/2002,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/QbpGQQH9WmU"", ""Link"")",Craig and Carly are busted,9:52,ATWT,06/17/2002,A,P_205f8940,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/drZNTMcKx0s"", ""Link"")",Craig and Carly are busted,08:59,ATWT,06/17/2002,A,P_205f8940,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/jy5CS7_rk9Q"", ""Link"")",Couples Reunite,5:54,ATWT,06/18/2002,A,P_3b124866,1,3,dragonweaver
"=HYPERLINK(""https://youtu.be/HHRxzpnQL4w"", ""Link"")",Couples Reunite,9:14,ATWT,06/18/2002,A,P_3b124866,2,3,dragonweaver
"=HYPERLINK(""https://youtu.be/28bRrbGEUmo"", ""Link"")",Couples Reunite,6:17,ATWT,06/18/2002,A,P_3b124866,3,3,dragonweaver
"=HYPERLINK(""https://youtu.be/KcyorBdu6_s"", ""Link"")",Guess Whos Coming to Dinner,8:56,ATWT,06/19/2002,A,P_7ed192a6,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/fVWpdM3D3AI"", ""Link"")",Guess Whos Coming to Dinner,09:19,ATWT,06/19/2002,A,P_7ed192a6,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/m1s9f-swv88"", ""Link"")",Carly and Rosanna Fight,8:55,ATWT,06/21/2002,A,P_5e9e420e,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/lDfzC_Ho1Rg"", ""Link"")",Carly and Rosanna Fight,7:32,ATWT,06/21/2002,A,P_5e9e420e,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/oJ_pKAGUJ7s"", ""Link"")",Rosannas Dinner Party,8:38,ATWT,06/30/2002,A,P_26caaec8,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/umpjFbsZZ-U"", ""Link"")",Rosannas Dinner Party,06:45,ATWT,06/30/2002,A,P_26caaec8,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/llbVk0nbEp8"", ""Link"")",Opening,00:32,ATWT,07/08/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/uc6InO1Cu0w"", ""Link"")",Eplisode,59:14,ATWT,07/22/2002,A,,1,1,edwynnsanchez
"=HYPERLINK(""https://youtu.be/Ett_aOuWsWE"", ""Link"")",Opening,0:41,ATWT,08/16/2002,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/4LwpQ4Uxn0k"", ""Link"")",Craig Lies to Rosanna About Carly,4:44,ATWT,12/27/2002,A,P_77415470,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/2gwDAbFRp10"", ""Link"")",Craig Lies to Rosanna About Carly,6:56,ATWT,12/27/2002,A,P_77415470,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/XScp0HzhBNE"", ""Link"")",Craig Learns About Rosannas Surgery,09:13,ATWT,12/30/2002,A,P_31ce8de1,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/6VZUcGKBcvA"", ""Link"")",Craig Learns About Rosannas Surgery,5:47,ATWT,12/30/2002,A,P_31ce8de1,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/E2NYs3u6BnE"", ""Link"")",Preview #21,0:24,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/MTEKRxelYOg"", ""Link"")",Preview #20,00:24,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/z8W8AH830sU"", ""Link"")",Preview #19,00:30,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/YHizY9vOcqM"", ""Link"")",Preview #18,0:29,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/oJN7_DmEr_Y"", ""Link"")",Preview #17,0:24,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/LAZamLO-BZA"", ""Link"")",Preview #16,0:32,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/XNLKhBvagQU"", ""Link"")",Preview #15,00:26,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/qtbGanv0VYQ"", ""Link"")",Preview #14,00:19,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/N2rUE8NRf7E"", ""Link"")",Preview #13,0:27,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/hNIhrbJysZY"", ""Link"")",Preview #12,0:22,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/6IkaEuewxwM"", ""Link"")",Preview #11,0:17,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/iVlX3j99Ank"", ""Link"")",Preview #10,00:24,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/xv45dzzjxhw"", ""Link"")",Preview #9,2:42,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/1yxF_kcUdpg"", ""Link"")",Preview #8,00:36,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/crbfOXXJJzw"", ""Link"")",Preview #7,1:49,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/mGH1-bSyafo"", ""Link"")",Preview #6,0:18,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/vnyN8vrOc_o"", ""Link"")",Preview #5,00:19,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/1-Cu4qvg8DE"", ""Link"")",Preview #4,00:19,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/uh6F6kt0-h8"", ""Link"")",Preview #3,00:20,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/7Nlv8_eRXnE"", ""Link"")",Preview #2,00:24,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/cMQKG8-k3gw"", ""Link"")",Preview #1,0:18,ATWT,01/01/2003,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/Orz9M5N1_yo"", ""Link"")",Craig Comforts Rosanna,9:03,ATWT,01/03/2003,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/RvUykmvdeqc"", ""Link"")",Carly Apologizes to Rosanna,7:53,ATWT,01/07/2003,A,P_989954b0,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/gz17t72mSHM"", ""Link"")",Carly Apologizes to Rosanna,5:21,ATWT,01/07/2003,A,P_989954b0,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/QVtTHOgyBjA"", ""Link"")",Rosanna and Sierra,8:19,ATWT,01/08/2003,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/weLgC03AOuY"", ""Link"")",Jack Gives JJ Back,6:49,ATWT,01/08/2003,A,P_6a702cc2,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/3xZgfVFB2jQ"", ""Link"")",Jack Gives JJ Back,5:57,ATWT,01/08/2003,A,P_6a702cc2,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/zx8H0w4abbA"", ""Link"")",Jack Watches Julias Tape,5:38,ATWT,01/09/2003,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/Ld9s35oT7RI"", ""Link"")",Jack Finds out Carlys Pregnant,5:40,ATWT,01/09/2003,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/xovKeji7978"", ""Link"")",Rosanna Proposes,08:42,ATWT,01/09/2003,A,P_925c4bae,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/9h7mvRScXgU"", ""Link"")",Rosanna Proposes,07:19,ATWT,01/09/2003,A,P_925c4bae,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/8X4T655jdh4"", ""Link"")",Craig Reacts to Ro's Proposal,4:30,ATWT,01/10/2003,A,P_a7925633,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/RBAQEtcVcpc"", ""Link"")",Craig Reacts to Ro's Proposal,6:47,ATWT,01/10/2003,A,P_a7925633,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/IaGCsvu4tpQ"", ""Link"")",Craig Proposes to Rosanna,04:58,ATWT,01/16/2003,A,P_5f1239d8,1,2,dragonweaver
"=HYPERLINK(""https://youtu.be/_6jSVEm3ogs"", ""Link"")",Craig Proposes to Rosanna,05:32,ATWT,01/16/2003,A,P_5f1239d8,2,2,dragonweaver
"=HYPERLINK(""https://youtu.be/GlTFX-3j5C0"", ""Link"")",Promos,00:26,ATWT,02/05/2003,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/ThA8Kn8Gj90"", ""Link"")",Anne Sayre as Mitzi Matters,00:54,ATWT,02/10/2003,A,,1,1,bartko80
"=HYPERLINK(""https://youtu.be/T9hTyfcnHmA"", ""Link"")",Promos,0:41,ATWT,02/27/2003,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/7r7oq0YzTak"", ""Link"")",Promos,0:42,ATWT,01/01/2004,B,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/gdzTPF93RgY"", ""Link"")",Preview #22,0:33,ATWT,01/01/2004,A,,1,1,disabled1955
"=HYPERLINK(""https://youtu.be/nlkvxJTF-wo"", ""Link"")",Will Chokes Barbara,0:53,ATWT,01/01/2004,A,,1,1,bartko80
"=HYPERLINK(""https://youtu.be/PIRD7yni3gQ"", ""Link"")",Barbara Kidnaps Emily,9:55,ATWT,07/31/2004,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/VzwHcgWJEnQ"", ""Link"")",Barbara Jumps Out A Window,9:18,ATWT,08/27/2004,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/Z7UPSS0XyRQ"", ""Link"")",Barbara Raids the Mental Hospital,5:42,ATWT,09/01/2004,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/ogk2v4oC6QQ"", ""Link"")",Jesse Soffers firstday,06:12,ATWT,09/03/2004,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/HLsYFXZly4o"", ""Link"")",Will Sets A Trap,8:24,ATWT,09/16/2004,A,,1,1,dragonweaver
"=HYPERLINK(""https://youtu.be/332LV7vwgLQ"", ""Link"")","Paul, Jessica, Babs, Will, Hal",06:16,ATWT,09/17/2004,A,,1,1,dragonweaver
