link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/RgenpXQxVN4"", ""Link"")",Nancy Asks Kim to Forgive Bob,01:26,ATWT,01/01/1990,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/4Cs_Ho-c7YA"", ""Link"")",Bob - Kim in Therapy,2:18,ATWT,01/01/1990,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/Ojfp5HvYFz0"", ""Link"")",Calista Flockhart,01:30,ATWT,01/01/1990,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/o33mekSBtus"", ""Link"")",Amy Ryan,1:43,ATWT,01/01/1990,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/jF-kWGpfG-Q"", ""Link"")",Margo Pulls Casey's Plug,03:02,ATWT,06/01/1990,A,,1,1,wedge8874
"=HYPERLINK(""https://youtu.be/wMRwsGgdvyo"", ""Link"")",Episode,55:53,ATWT,06/25/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/jqm-T2fjy0s"", ""Link"")",Episode,39:27,ATWT,06/26/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/3O0ySKAhwmA"", ""Link"")",Episode,58:37,ATWT,07/27/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/YZQx8E5OFT8"", ""Link"")",Episode,37:44,ATWT,07/30/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/zIolJ_Ge6_k"", ""Link"")",Episode,39:48,ATWT,07/31/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/DHnOP-Bn9WU"", ""Link"")",Episode,47:17,ATWT,08/01/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/h216UzIq8lg"", ""Link"")",Episode,54:29,ATWT,08/06/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/7A2PELrrfpM"", ""Link"")",Episode,57:39,ATWT,08/07/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/Tymiv7yfu7c"", ""Link"")",Episode,57:32,ATWT,08/20/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/QKrZg0wE6Us"", ""Link"")",Episode,58:04,ATWT,08/21/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/hFLxaGzADkk"", ""Link"")",Episode,56:30,ATWT,08/27/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/NSt4vYPE2iY"", ""Link"")",Episode,57:06,ATWT,08/31/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/y3gYXLAxd9g"", ""Link"")",Episode,51:25,ATWT,09/05/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/hfqHOlHb7qU"", ""Link"")",Episode,58:39,ATWT,09/13/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/c9kv3zdmlqw"", ""Link"")",Episode,33:47,ATWT,09/17/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/GJzQlTIPwIA"", ""Link"")",Episode,38:23,ATWT,09/19/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/hjlH4IVxWXU"", ""Link"")",Episode,38:56,ATWT,09/24/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/_YrnstrV5qE"", ""Link"")",Episode,58:30,ATWT,09/25/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/9U5Y9Jp6aFA"", ""Link"")",Episode,36:00,ATWT,09/26/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/uzrh9u0GTqM"", ""Link"")",Episode,31:32,ATWT,10/08/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/-bjPLOwnQzg"", ""Link"")",Episode,55:48,ATWT,10/09/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/myVrfpdfWx4"", ""Link"")",Episode content,14:38,ATWT,10/15/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/VEUUgYpv3z0"", ""Link"")",Episode,33:14,ATWT,10/18/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/lOtyav115C8"", ""Link"")",Episode,38:14,ATWT,10/19/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/fWsv4Vt7mQM"", ""Link"")",Episode,58:33,ATWT,10/22/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/0T2aVjiBw_4"", ""Link"")",Episodes,01:24:47,ATWT,10/29/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/6n0rhQppW0Q"", ""Link"")",Episodes,43:43,ATWT,11/02/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/9YmWKbf_uA8"", ""Link"")",Episode,23:45,ATWT,11/08/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/RJ06k_sAHvU"", ""Link"")",Episode,31:54,ATWT,11/09/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/h5oY-mLTQe0"", ""Link"")",Episode,39:02,ATWT,11/12/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/E-GIUkS_vS0"", ""Link"")",Episode content,07:44,ATWT,11/13/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/rY6WH3ZEK6M"", ""Link"")",Episode,22:32,ATWT,11/14/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/7mNAS-cmoMc"", ""Link"")",Episode,37:08,ATWT,11/15/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/VcEtlMCRIV0"", ""Link"")",Episode,26:26,ATWT,11/19/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/alQofvMF0A4"", ""Link"")",Episode,44:41,ATWT,11/29/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/e5FCKaZ6jac"", ""Link"")",Episode,25:39,ATWT,11/30/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/BxoHtKl5MvY"", ""Link"")",Episode,35:23,ATWT,12/03/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/oaLATDKpaB0"", ""Link"")",Episode,32:48,ATWT,12/05/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/J9bAJMuxj6o"", ""Link"")",Episode,29:56,ATWT,12/06/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/4jlc--y0xFE"", ""Link"")",Episode,23:29,ATWT,12/10/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/kvXRYpYQ-f0"", ""Link"")",Episode,23:29,ATWT,12/10/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/k54usCYKH9A"", ""Link"")",Episode,58:23,ATWT,12/14/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/PxJJ_1KmOXM"", ""Link"")",Episode,26:55,ATWT,12/18/1990,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/eSqxidn69qk"", ""Link"")",Rex Smith and Mary Ellen Stuart Dance On The Beach,03:11,ATWT,01/01/1991,A,,1,1,fyi9476
"=HYPERLINK(""https://youtu.be/fwA5OzS5b1k"", ""Link"")",Lauryn Hill On As The World Turns,2:49,ATWT,01/01/1991,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/PTsQNEaTsiU"", ""Link"")",Episode content,19:29,ATWT,01/07/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/g-iFXpV2O9U"", ""Link"")",Episode,22:53,ATWT,01/08/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/TlneGIdICzA"", ""Link"")",Episode,37:40,ATWT,01/10/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/nsDszb4IUQM"", ""Link"")",Episode,55:50,ATWT,01/15/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/tqjyBcjFv4U"", ""Link"")",Episode,35:36,ATWT,01/16/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/rlPliBIU_ZA"", ""Link"")",Episode,28:32,ATWT,01/29/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/8JQ--1KBMOA"", ""Link"")",Episode,32:10,ATWT,01/31/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/behiCQBlcuc"", ""Link"")",Episode,30:58,ATWT,02/04/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/BUuLfAAd8tg"", ""Link"")",Episode,26:53,ATWT,02/06/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/itiG3qmtmQQ"", ""Link"")",Episode,39:40,ATWT,02/07/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/zUKMRHsk-gk"", ""Link"")",Episode,23:56,ATWT,02/08/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/M9hORZeNG3w"", ""Link"")",Episode,58:02,ATWT,02/13/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/FmPzRFwyK5I"", ""Link"")",Episode,27:08,ATWT,02/14/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/CmaqkDQCjz8"", ""Link"")",Episode,36:34,ATWT,02/15/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/Q91SHO9Nehs"", ""Link"")",Episode content,18:29,ATWT,02/18/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/dOQahR8uGBg"", ""Link"")",Episode,55:29,ATWT,02/20/1991,A,,1,1,dodger2829
"=HYPERLINK(""https://youtu.be/sbx06ImRi0I"", ""Link"")",Episode content,15:16,ATWT,02/22/1991,A,,1,1,dodger2829
