link,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/M2hG2puw4xE"", ""Link"")",Ken Olin,1:38,LVNG,01/01/1983,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/G15TCjJMv58"", ""Link"")",1st credit crawl for debut episode,01:06,LVNG,01/01/1983,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/m9NiZ2vesyQ"", ""Link"")",Closing theme,2:06,LVNG,01/01/1983,B,,1,1,edwynsanchez
"=HYPERLINK(""https://youtu.be/WxQK9eiguS4"", ""Link"")",Agnes Nixon inroduces Loving,1:08,LVNG,6/15/1983,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/nUzXqoTpWO0"", ""Link"")",Pilot episode ,1:26:16,LVNG,6/26/1983,A,,1,1,chucksnitchler
"=HYPERLINK(""https://youtu.be/7FWDHJqBVgU"", ""Link"")",Bryan Cranston,3:44,LVNG,01/01/1984,A,,1,1,theystartedonsoaps
"=HYPERLINK(""https://youtu.be/FizneLYQKfE"", ""Link"")",Promo - Stacey - Tony - Lorna Triangle,0:31,LVNG,1/1/1984,B,,1,1,fyi
"=HYPERLINK(""https://youtu.be/0-ZBYPOJcmQ"", ""Link"")",Episode 180,03:15,LVNG,02/09/1984,A,P_8dc41434,1,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/iwzeADTbF-g"", ""Link"")",Episode 180,02:01,LVNG,02/09/1984,A,P_8dc41434,2,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/D7GNMVVR_ag"", ""Link"")",Episode 180,04:31,LVNG,02/09/1984,A,P_8dc41434,3,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/uQtUM_NKMmA"", ""Link"")",Episode 180,7:23,LVNG,02/09/1984,A,P_8dc41434,4,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/img8qgNsu-A"", ""Link"")",Episode 180,03:56,LVNG,02/09/1984,A,P_8dc41434,5,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/1-ZLlSbHYjI"", ""Link"")",Episode 180,1:14,LVNG,02/09/1984,A,P_8dc41434,6,6,snarkweighsin
"=HYPERLINK(""https://youtu.be/GJL3EG9K4nI"", ""Link"")",Promo,00:00:20,LVNG,12/01/1984,A,,1,1,theedgeofnightman
