YouTube link,id,title,duration,soap,date,category,parentid,part,total,channel
"=HYPERLINK(""https://youtu.be/qoM98mDiUBE"", ""Link"")",qoM98mDiUBE,Kendall Attends Tad and Cara's Wedding,0:10:26,AMC,03/08/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/hLkR4dtgYQ4"", ""Link"")",hLkR4dtgYQ4,Kendall Tells Brot About Zach's Letter,0:11:33,AMC,03/10/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/NWA0dMXKkek"", ""Link"")",NWA0dMXKkek,Kendall Learns from Greenlee that Fusion is in Trouble,0:08:11,AMC,03/11/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/UWKIWElqnTo"", ""Link"")",UWKIWElqnTo,Kendall Learns that Madison's Baby is Ryan's,0:11:03,AMC,03/15/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/ODqh9cbAj7A"", ""Link"")",ODqh9cbAj7A,"Joe Visits Jake, Cara, - Tad",0:07:51,AMC,03/16/2011,A,,1,1,ackgh73994
"=HYPERLINK(""https://youtu.be/8f4hvEFp1kk"", ""Link"")",8f4hvEFp1kk,Minx AMC,0:09:49,AMC,03/16/2011,A,,1,1,amcsoapfan2004
"=HYPERLINK(""https://youtu.be/Nc-nMxEe-WM"", ""Link"")",Nc-nMxEe-WM,"Kendall, Bianca, Marissa....Just Having Fun",0:09:09,AMC,03/16/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/78eOzcx5vtE"", ""Link"")",78eOzcx5vtE,Bianca and Marissa,0:00:43,AMC,03/16/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/NI-JQ2ADcik"", ""Link"")",NI-JQ2ADcik,Tad Agrees to Look Into Zach's Shady Casino Partners,0:10:49,AMC,03/17/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/p-uHqDikFK4"", ""Link"")",p-uHqDikFK4,Ricky Makes Kendall Suspicious of Griffen,0:08:48,AMC,03/18/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/VmVzI5enT_s"", ""Link"")",VmVzI5enT_s,Minx AMC,0:08:01,AMC,03/21/2011,A,,1,1,amcsoapfan2004
"=HYPERLINK(""https://youtu.be/6Ot0Cj4joVc"", ""Link"")",6Ot0Cj4joVc,Kendall Wonders Why Griffen Lied To Her,0:09:37,AMC,03/21/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/Q-heRA4lhnQ"", ""Link"")",Q-heRA4lhnQ,Minx AMC,0:10:21,AMC,03/23/2011,A,,1,1,amcsoapfan2004
"=HYPERLINK(""https://youtu.be/VvVY9VbT6yk"", ""Link"")",VvVY9VbT6yk,"Griffen Lies to Kendall, while Ricky Raises Her Suspicions",0:10:33,AMC,03/23/2011,A,,1,1,divaromas2006
"=HYPERLINK(""https://youtu.be/UloNccTTqUs"", ""Link"")",UloNccTTqUs,Minx AMC,0:09:45,AMC,03/24/2011,A,,1,1,amcsoapfan2004
"=HYPERLINK(""https://youtu.be/uzGnFAVl3DY"", ""Link"")",uzGnFAVl3DY,Kendall Wonders About Griffen's Beating,0:11:14,AMC,03/24/2011,A,,1,1,divaromas2006
